Categories,SubCategories,DetailsCategories,Expense Keyword
Groceries,Grocery,Grocery,PAK N SAVE | NEW WORLD | COUNTDOWN | WOOLWORTHS | CHEMIST WAREHOUSE | GOODFOR | FOUR SQUARE | CHOICE RETAIL AUCKLAND | Washpod | HESARISUPERMARKETPANMURE | HESARI BAKERY | TART BAKERY
Personal Care,Clothing & Footwear,Shopping,
Personal Care,Clothing & Footwear,Shopping - Online,TEMU | ALIEXPRES 
Personal Care,Personal Care,HairCut,
Personal Care,Personal Care,Treatment,CASI
Personal Care,Personal Care,Makeup,
Medical,Medical & Health ,Medical,Unichem | Pharmcy
Recreational & Entertainment,Dining Out ,Dinning,SOUL BAR | BBB Stonefields | COFFEE BAR | Deadshot | Fergbaker | JAMIAUCKLAND | HELL PIZZA | DEGRAND | HELLO FRIENDS
Recreational & Entertainment,Entertainment,Cinema,
Recreational & Entertainment,Entertainment,Event,FIFA | EB  Succeed in Propert
Recreational & Entertainment,Entertainment,Donate,Lotto
Recreational & Entertainment,Entertainment,Gift,MyGoodnessGiftBaskets | WILD ROSE
Recreational & Entertainment,Entertainment,Liquor,COBRA LIQUOR
Recreational & Entertainment,Entertainment,Forex,CMC
Recreational & Entertainment,Entertainment,Gambling,SkyCity | SCC10005 | SCC10004 | SCC10007
Recreational & Entertainment,Entertainment,Vape,Philip Morris | BAT (NEW ZEALAND) LIMITED VENDOR | ALT AUCKLAND | VAPEYS | VUSE
Recreational & Entertainment,Travel ,Travel,Conversion Rate | AIRBNB | TAUPO | PAIHIA | Queenstown | Melbourne | MT RUAPEHU | BAY OF ISL | WHANGAREI | GST Tourist Refund | Wise Card
Recreational & Entertainment,Gym ,GYM,DBS Jetts | TOPDOG
Telephone & Internet,Mobile phone ,Mobile,Skinny
Telephone & Internet,Internet ,Internet ,
Telephone & Internet,AppleStorage,AppleStorage,APPLE
Telephone & Internet,US Mobile ,US Mobile ,US MOBILE
Transport,Petrol ,Transport - Car,ANDREW SIMMS MITSUBI AUCKLAND
Transport,Petrol ,Transport - Fuel,GULL | BP CONNECT | MOBIL | Z
Transport,Petrol ,Transport - Parking,VICTORY CHRISTIAN CHURCH AUCKLAND | WILSON | AT Parking Auckland | PARKMATE | Downtown Car Park  | Airport Carpark | VICTORY PARKING
Transport,Petrol ,Transport - Rental Car,MODERENTALS
Transport,Petrol ,Transport -Taxi - Bus,AT Hop | AT REMUERA STATION | Uber
Insurance,Health Insurance-SAM ,Health Insurance-SAM ,SOUTHERN CROSS
Insurance,Life Insurance,Life Insurance,AIA NEW ZEALAND AUCKLAND
Insurance,Vehicle Insurance,Vehicle Insurance,TOWER INSURANCE
8 Denning Place ,Electricity & Gas,Electricity & Gas,Contact Energy
8 Denning Place ,Council Rates ,Council Rates ,
8 Denning Place ,Water,Water,Watercare | Watercare Services | Watercare Online
8 Denning Place ,8Denning-HouseInsurance,8Denning-HouseInsurance,TOWER INSURANCE
8 Denning Place ,8Denning-ContentsInsurance,8Denning-ContentsInsurance,TOWER INSURANCE
8 Denning Place ,Home Expense,Home Expense,Kings Plant | MITRE 10 | Kogan.com | LOOK SHARP
8 Denning Place ,Mortgage,RePayment,AP#
8 Denning Place ,Mortgage,Interest,LOAN INTEREST
24 Panorama Road ,Council Rates ,Council Rates ,
24 Panorama Road ,House Insurance,House Insurance,TOWER INSURANCE
24 Panorama Road ,Property Tax,Property Tax,
24 Panorama Road ,MyRentCharge ,MyRentCharge ,MYRENT
24 Panorama Road ,Income,Rent,
24 Panorama Road ,Income,Tax Refund,D/C FROM I.R.D. 111-811-989
24 Panorama Road ,Mortgage,RePayment,Loan Payment
24 Panorama Road ,Mortgage,Interest,Loan Interest
5B Cleary Road ,Council Rates ,Council Rates ,
5B Cleary Road ,House Insurance,House Insurance,TOWER INSURANCE
5B Cleary Road ,Property Tax,Property Tax,INLAND REVENUE DEPARTMENT ;Ref: 1239391360 I IT 113165197 INC
5B Cleary Road ,MyRentCharge ,MyRentCharge ,MYRENT
5B Cleary Road ,Mortgage,RePayment,AP#
5B Cleary Road ,Mortgage,Interest,LOAN INTEREST
5B Cleary Road ,Mortgage,Lump Sum Payment,SHORTFALL
5B Cleary Road ,Mortgage,Loan Expense,Fixed Rate Lock Option
5B Cleary Road ,Income,Rent,Bill Payment Rent myRent
6-29 Te Koa Road,Home Expense,Buy Property,QUOTABLE VALUE NZ WEB AUCKLAND
Other,Kiwisaver-MJ ,Kiwisaver-MJ ,
Other,Kiwisaver-Sam ,Kiwisaver-Sam ,
Other,Other Expenses ,POST,ELLERSLIE CENTRAL POST
Other,Other Expenses ,IRD,Inland Revenue Dept | IRD WITHHOLDING TAX 17.500%
Other,Other Expenses ,NZAA,Driving licence
Other,Other Expenses ,Immigration,
Other,Other Expenses ,Personal,GUMRD.COM | UPSKILLVERS
Other,Other Expenses ,OFFSHORE SERVICE MARGINS,
Other,Other Expenses ,Cash,Change NZD to USD Reza Taebi - Got Cash in USD
Other,Other Expenses ,Bank Fee,
Loans and Liabilities,Credit Card-KiwiBank-SAM ,Credit Card-KiwiBank-SAM ,
Loans and Liabilities,Credit Card-KiwiBank-SAM ,Credit Card-KiwiBank-SAM ,
